Window,PSNR,SSIM
1,9.384652191812432,0.029720056802034378
2,10.534229248541982,0.05288328602910042
4,11.24787599497795,0.090336874127388
8,11.654013294698412,0.14550626277923584
16,11.872037054349477,0.21642529964447021
32,11.984358808838769,0.29355084896087646
64,12.038729734302265,0.36306971311569214
128,12.059464495816217,0.41474783420562744
256,12.058874166088728,0.4470522403717041
512,12.048763145843981,0.4650828540325165
1024,12.046427194247816,0.4750974178314209
2048,12.047093418214718,0.48046737909317017
4096,12.046406721634138,0.4828319251537323
