suffx,PSNR,SSIM
x,14.208929564824322,0.05187461708700201
bm3d_synthetic_frames100_σ0.1_stageBM3DStages.ALL_STAGES,16.24590177616814,0.2650561214046231
bm3d_synthetic_frames100_σ0.25_stageBM3DStages.ALL_STAGES,16.809471267662108,0.450677973771336
bm3d_synthetic_frames100_σ0.5_stageBM3DStages.ALL_STAGES,16.750207081300697,0.4405052117966731
bm3d_synthetic_frames100_σ0.05_stageBM3DStages.ALL_STAGES,14.60363674414328,0.0672902147378596
bm3d_synthetic_frames100_σ0.15_stageBM3DStages.ALL_STAGES,16.632072521246187,0.4154727891136202
bm3d_synthetic_frames100_σ0.2_stageBM3DStages.ALL_STAGES,16.726365944650997,0.4435864534599176
bm4d_synthetic_frames100_t8_σ0.05_stageBM3DStages.ALL_STAGES,14.633495368999858,0.0687234002242911
bm4d_synthetic_frames100_t8_σ0.1_stageBM3DStages.ALL_STAGES,16.558615202963352,0.3483037087766378
bm4d_synthetic_frames100_t8_σ0.15_stageBM3DStages.ALL_STAGES,16.826707895974128,0.4593772300591456
bm4d_synthetic_frames100_t8_σ0.2_stageBM3DStages.ALL_STAGES,16.967853972911463,0.4759772614118353
bm4d_synthetic_frames100_t16_σ0.05_stageBM3DStages.ALL_STAGES,14.625077137247924,0.068013794366494
bm4d_synthetic_frames100_t16_σ0.1_stageBM3DStages.ALL_STAGES,16.48298794826389,0.3134643336967804
bm4d_synthetic_frames100_t16_σ0.15_stageBM3DStages.ALL_STAGES,16.82001955248125,0.4547355770476805
bm4d_synthetic_frames100_t16_σ0.2_stageBM3DStages.ALL_STAGES,16.935512173841094,0.4738759625413442
bm4d_synthetic_frames100_t32_σ0.05_stageBM3DStages.ALL_STAGES,14.626472339536324,0.067752540588733
bm4d_synthetic_frames100_t32_σ0.1_stageBM3DStages.ALL_STAGES,16.42358475243303,0.2892726316234127
bm4d_synthetic_frames100_t32_σ0.15_stageBM3DStages.ALL_STAGES,16.805706497644795,0.4469051016962094
bm4d_synthetic_frames100_t32_σ0.2_stageBM3DStages.ALL_STAGES,16.903609918708863,0.471029141887457
bm4d_synthetic_frames100_t64_σ0.05_stageBM3DStages.ALL_STAGES,14.626959323644368,0.06779709423166222
bm4d_synthetic_frames100_t64_σ0.1_stageBM3DStages.ALL_STAGES,16.414543473780704,0.2874823137640823
bm4d_synthetic_frames100_t64_σ0.15_stageBM3DStages.ALL_STAGES,16.789712179148864,0.4446671974033515
bm4d_synthetic_frames100_t64_σ0.2_stageBM3DStages.ALL_STAGES,16.898773232127926,0.47080995903161765
