suffx,PSNR,SSIM
n2n_synthetic_frames600_t8_ep10,30.58987523094574,0.7871141098521832
n2n_synthetic_frames600_t16_ep10,31.083852492052976,0.8096656298640139
n2n_synthetic_frames600_t32_ep10,31.468628693752365,0.8221673185463724
n2n_synthetic_frames600_t64_ep10,30.4106597140718,0.8057142491232077
n2n_synthetic_frames600_t128_ep10,28.986842239193944,0.735777062718153
n2n_synthetic_frames3000_t8_ep10,27.828168888044328,0.728755627210314
n2n_synthetic_frames3000_t16_ep10,30.305680173999438,0.795214086865809
n2n_synthetic_frames3000_t32_ep10,32.1059851617635,0.8375808049272484
n2n_synthetic_frames3000_t64_ep10,32.21679324153766,0.847577238821299
n2n_synthetic_frames3000_t128_ep10,31.698316623695174,0.8306785758478635
