suffx,PSNR,SSIM
n2v_synthetic_frames600_t8_ep10,20.963518635801144,0.6036833267288318
n2v_synthetic_frames600_t16_ep10,20.698930108253265,0.6274865380638759
n2v_synthetic_frames600_t32_ep10,20.56705751600623,0.6072553550347429
n2v_synthetic_frames600_t64_ep10,21.1234396615924,0.6371612598468483
n2v_synthetic_frames600_t128_ep10,21.21087678996519,0.627905024194652
n2v_synthetic_frames3000_t8_ep10,19.18151721142141,0.5614988284160563
n2v_synthetic_frames3000_t16_ep10,19.339705086216128,0.576907522104854
n2v_synthetic_frames3000_t32_ep10,19.094724384655834,0.4843232688738711
n2v_synthetic_frames3000_t64_ep10,19.53406807328794,0.5861050220537436
n2v_synthetic_frames3000_t128_ep10,19.3843089275987,0.5790913692928797
