suffx,PSNR,SSIM
deepcad,32.2099868625771,0.5934867858886719
1.0,32.88295020239799,0.7227025628089905
0.75,33.28310118681942,0.7494115233421326
0.5,33.582517837956104,0.7720195651054382
0.25,33.756845934390334,0.7873347401618958
1.0-0.5-0.0,32.68597631646412,0.7073860168457031
0.75-0.375-0.0,33.16749222186611,0.7392358779907227
0.5-0.25-0.0,33.5337914648894,0.7667739391326904
0.25-0.125-0.0,33.74939964946487,0.7858695387840271
1.0-0.666666-0.333333-0.0,32.340656569526686,0.688020646572113
0.75-0.5-0.25-0.0,32.938787653254,0.7255865335464478
0.5-0.333333-0.166666-0.0,33.41326405594161,0.75905841588974
0.25-0.166666-0.08333-0.0,33.710638468385326,0.7832341194152832
1.0-0.75-0.5-0.25-0.0,31.908934959116632,0.6662178039550781
0.75-0.5625-0.375-0.1875-0.0,32.63340407961034,0.709530234336853
0.5-0.375-0.25-0.125-0.0,33.23689618187435,0.7493759989738464
0.25-0.1875-0.125-0.0625-0.0,33.64436227506639,0.7795186638832092
