suffx,PSNR,SSIM
deepcad,32.2099868625771,0.5934867858886719
frame600_avg1024_alphas1,31.71151823742093,0.6427240967750549
frame600_avg6000_alphas1,32.87944507681843,0.7934535145759583
frame600_avg6000_alphas0.8,33.53810574442479,0.7989110350608826
frame600_avg6000_alphas0.6,33.81833610860373,0.7872610688209534
frame600_avg6000_alphas0.4,33.64225546993041,0.7516596913337708
frame600_avg6000_alphas0.2,33.06000514257451,0.6868215203285217
frame600_avg6000_alphas0.65-1.0,32.88295020239799,0.7227025628089905
frame600_avg6000_alphas0.65-0.75,33.28310118681942,0.7494115233421326
frame600_avg6000_alphas0.65-0.5,33.582517837956104,0.7720195651054382
frame600_avg6000_alphas0.65-0.25,33.756845934390334,0.7873347401618958
frame600_avg6000_alphas0.65-1.0-0.0,32.88295020239799,0.7227025628089905
frame600_avg6000_alphas0.65-0.75-0.0,33.28310118681942,0.7494115233421326
frame600_avg6000_alphas0.65-0.5-0.0,33.582517837956104,0.7720195651054382
frame600_avg6000_alphas0.65-0.25-0.0,33.756845934390334,0.7873347401618958
frame600_avg6000_alphas0.65-1.0-0.5-0.0,32.68597631646412,0.7073860168457031
frame600_avg6000_alphas0.65-0.75-0.375-0.0,33.16749222186611,0.7392358779907227
frame600_avg6000_alphas0.65-0.5-0.25-0.0,33.5337914648894,0.7667739391326904
frame600_avg6000_alphas0.65-0.25-0.125-0.0,33.74939964946487,0.7858695387840271
frame600_avg6000_alphas0.65-1.0-0.6666666666666667-0.33333333333333337-0.0,32.340656569526686,0.688020646572113
frame600_avg6000_alphas0.65-0.75-0.5-0.25-0.0,32.938787653254,0.7255865335464478
frame600_avg6000_alphas0.65-0.5-0.33333333333333337-0.16666666666666669-0.0,33.41326405594161,0.75905841588974
frame600_avg6000_alphas0.65-0.25-0.16666666666666669-0.08333333333333334-0.0,33.710638468385326,0.7832341194152832
frame600_avg6000_alphas0.65-1.0-0.75-0.5-0.25-0.0,31.908934959116632,0.6662178039550781
frame600_avg6000_alphas0.65-0.75-0.5625-0.375-0.1875-0.0,32.63340407961034,0.709530234336853
frame600_avg6000_alphas0.65-0.5-0.375-0.25-0.125-0.0,33.23689618187435,0.7493759989738464
frame600_avg6000_alphas0.65-0.25-0.1875-0.125-0.0625-0.0,33.64436227506639,0.7795186638832092
frame600_avg64_alphas0.65,26.508432517689428,0.3319999873638153
frame600_avg256_alphas0.65,30.602161581276462,0.5333776473999023
frame600_avg1024_alphas0.65,33.08005379875658,0.6952762007713318
frame600_avg4096_alphas0.65,33.64231069567611,0.7794196605682373
frame600_avg6000_alphas0.65,33.79004569293957,0.7921515107154846
frame100_avg6000_alphas0.65,34.22623885001173,0.8537960648536682
frame300_avg6000_alphas0.65,31.61772639061338,0.7988939881324768
frame1200_avg6000_alphas0.65,34.62205112773099,0.7869586944580078
frame2400_avg6000_alphas0.65,34.620150250078304,0.7816188931465149
