suffx,ROI GT,ROIs,IoU
synthetic_deepcad_15,284.0,101.0,0.2675174574034076
synthetic_deepcad_30,284.0,170.0,0.4350099563780303
synthetic_deepcad_75,284.0,188.0,0.453127058309769
synthetic_deepcad_150,284.0,192.0,0.4623328723558252
synthetic_deepcad_300,284.0,183.0,0.4561175824015812
synthetic_fft_15,284.0,232.0,0.685404505305129
synthetic_fft_30,284.0,240.0,0.7292863961715108
synthetic_fft_75,284.0,235.0,0.6987602220785647
synthetic_fft_150,284.0,242.0,0.6978199736420059
synthetic_fft_300,284.0,239.0,0.7114999324991864
