Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
Loading model...
Loading dataset...
The dataset has 18,864 samples!
The augumentation is OFF
Loading accelerator...
🚀 Accelerator launching on 1 GPU(s)
Starting training...
Epochs:   0%|          | 0/10 [00:00<?, ?it/s]
  0%|          | 0/18864 [00:00<?, ?it/s][A
  0%|          | 0/18864 [00:02<?, ?it/s, Loss=1.040 (L1:0.81, MSE:1.04), Free VRAM=33.3GiB, Time=0h 0m 2s][A
  0%|          | 1/18864 [00:02<13:43:20,  2.62s/it, Loss=1.040 (L1:0.81, MSE:1.04), Free VRAM=33.3GiB, Time=0h 0m 2s][A
  0%|          | 1/18864 [00:03<13:43:20,  2.62s/it, Loss=0.717 (L1:0.67, MSE:0.72), Free VRAM=33.3GiB, Time=0h 0m 3s][A
  0%|          | 2/18864 [00:03<7:46:49,  1.48s/it, Loss=0.717 (L1:0.67, MSE:0.72), Free VRAM=33.3GiB, Time=0h 0m 3s] [A
  0%|          | 2/18864 [00:03<7:46:49,  1.48s/it, Loss=0.496 (L1:0.56, MSE:0.50), Free VRAM=33.3GiB, Time=0h 0m 3s][A
  0%|          | 3/18864 [00:03<5:52:28,  1.12s/it, Loss=0.496 (L1:0.56, MSE:0.50), Free VRAM=33.3GiB, Time=0h 0m 3s][A
  0%|          | 3/18864 [00:04<5:52:28,  1.12s/it, Loss=0.358 (L1:0.47, MSE:0.36), Free VRAM=33.3GiB, Time=0h 0m 4s][A
  0%|          | 4/18864 [00:04<4:58:44,  1.05it/s, Loss=0.358 (L1:0.47, MSE:0.36), Free VRAM=33.3GiB, Time=0h 0m 4s][A
  0%|          | 4/18864 [00:05<4:58:44,  1.05it/s, Loss=0.667 (L1:0.65, MSE:0.67), Free VRAM=33.3GiB, Time=0h 0m 5s][A
  0%|          | 5/18864 [00:05<4:28:57,  1.17it/s, Loss=0.667 (L1:0.65, MSE:0.67), Free VRAM=33.3GiB, Time=0h 0m 5s][A
  0%|          | 5/18864 [00:06<4:28:57,  1.17it/s, Loss=0.215 (L1:0.36, MSE:0.21), Free VRAM=33.3GiB, Time=0h 0m 5s][A
  0%|          | 6/18864 [00:06<4:11:02,  1.25it/s, Loss=0.215 (L1:0.36, MSE:0.21), Free VRAM=33.3GiB, Time=0h 0m 5s][A
  0%|          | 6/18864 [00:06<4:11:02,  1.25it/s, Loss=0.171 (L1:0.32, MSE:0.17), Free VRAM=33.3GiB, Time=0h 0m 6s][A
  0%|          | 7/18864 [00:06<3:59:34,  1.31it/s, Loss=0.171 (L1:0.32, MSE:0.17), Free VRAM=33.3GiB, Time=0h 0m 6s][A
